A,B,linkA,linkB,prerequisites,source,domin,language
Arithmetic mean,DBSCAN,https://en.wikipedia.org/wiki/Arithmetic_mean,https://en.wikipedia.org/wiki/DBSCAN,A->B,AL-CPL,data_mining,en
Arithmetic mean,OPTICS algorithm,https://en.wikipedia.org/wiki/Arithmetic_mean,https://en.wikipedia.org/wiki/OPTICS_algorithm,A->B,AL-CPL,data_mining,en
Joint probability distribution,Confidence interval,https://en.wikipedia.org/wiki/Joint_probability_distribution,https://en.wikipedia.org/wiki/Confidence_interval,None,AL-CPL,data_mining,en
Conditional probability,Prior probability,https://en.wikipedia.org/wiki/Conditional_probability,https://en.wikipedia.org/wiki/Prior_probability,None,AL-CPL,data_mining,en
Conditional probability,Decision tree model,https://en.wikipedia.org/wiki/Conditional_probability,https://en.wikipedia.org/wiki/Decision_tree_model,A->B,AL-CPL,data_mining,en
Data mining,Boosting (machine learning),https://en.wikipedia.org/wiki/Data_mining,https://en.wikipedia.org/wiki/Boosting_(machine_learning),None,AL-CPL,data_mining,en
Standard deviation,Naive Bayes classifier,https://en.wikipedia.org/wiki/Standard_deviation,https://en.wikipedia.org/wiki/Naive_Bayes_classifier,A->B,AL-CPL,data_mining,en
Gradient descent,Feedforward neural network,https://en.wikipedia.org/wiki/Gradient_descent,https://en.wikipedia.org/wiki/Feedforward_neural_network,None,AL-CPL,data_mining,en
Statistical significance,Confidence interval,https://en.wikipedia.org/wiki/Statistical_significance,https://en.wikipedia.org/wiki/Confidence_interval,None,AL-CPL,data_mining,en
Hierarchical Computer_cluster,Data mining,https://en.wikipedia.org/wiki/Hierarchical_Computer_cluster,https://en.wikipedia.org/wiki/Data_mining,None,AL-CPL,data_mining,en
Median,Interquartile range,https://en.wikipedia.org/wiki/Median,https://en.wikipedia.org/wiki/Interquartile_range,A->B,AL-CPL,data_mining,en
Outlier,Cluster analysis,https://en.wikipedia.org/wiki/Outlier,https://en.wikipedia.org/wiki/Cluster_analysis,None,AL-CPL,data_mining,en
Probability density function,Bayesian network,https://en.wikipedia.org/wiki/Probability_density_function,https://en.wikipedia.org/wiki/Bayesian_network,A->B,AL-CPL,data_mining,en
Outlier,Data mining,https://en.wikipedia.org/wiki/Outlier,https://en.wikipedia.org/wiki/Data_mining,A->B,AL-CPL,data_mining,en
Accuracy and precision,Sensitivity and specificity,https://en.wikipedia.org/wiki/Accuracy_and_precision,https://en.wikipedia.org/wiki/Sensitivity_and_specificity,None,AL-CPL,data_mining,en
Cluster analysis,K-medoids,https://en.wikipedia.org/wiki/Cluster_analysis,https://en.wikipedia.org/wiki/K-medoids,A->B,AL-CPL,data_mining,en
Feedforward neural network,Backpropagation,https://en.wikipedia.org/wiki/Feedforward_neural_network,https://en.wikipedia.org/wiki/Backpropagation,None,AL-CPL,data_mining,en
