A,B,linkA,linkB,prerequisites,source,domin,language
Mathematics,Random_graph,https://en.wikipedia.org/wiki/Mathematics,https://en.wikipedia.org/wiki/Random_graph,A->B,eaaiB->A7-cpr-recover,,en
Algorithm_design,Knowledge_representation_and_reasoning,https://en.wikipedia.org/wiki/Algorithm,https://en.wikipedia.org/wiki/Knowledge_representation_and_reasoning,A->B,eaaiB->A7-cpr-recover,,en
Natural_language,Natural_language_processing,https://en.wikipedia.org/wiki/Natural_language,https://en.wikipedia.org/wiki/Natural_language_processing,A->B,eaaiB->A7-cpr-recover,,en
Combinatorics,Algorithm,https://en.wikipedia.org/wiki/Combinatorics,https://en.wikipedia.org/wiki/Algorithm,A->B,eaaiB->A7-cpr-recover,,en
Unix,System_programming,https://en.wikipedia.org/wiki/Unix,https://en.wikipedia.org/wiki/Systems_programming,A->B,eaaiB->A7-cpr-recover,,en
Combinatorics,Random_graph,https://en.wikipedia.org/wiki/Combinatorics,https://en.wikipedia.org/wiki/Random_graph,A->B,eaaiB->A7-cpr-recover,,en
Mathematical_proof,Mathematical_induction,https://en.wikipedia.org/wiki/Mathematical_proof,https://en.wikipedia.org/wiki/Mathematical_induction,A->B,eaaiB->A7-cpr-recover,,en
Image_processing,Computer_vision,https://en.wikipedia.org/wiki/Digital_image_processing,https://en.wikipedia.org/wiki/Computer_vision,A->B,eaaiB->A7-cpr-recover,,en
Mathematics,Randomness,https://en.wikipedia.org/wiki/Mathematics,https://en.wikipedia.org/wiki/Randomness,A->B,eaaiB->A7-cpr-recover,,en
Number_theory,Computer_science,https://en.wikipedia.org/wiki/Number_theory,https://en.wikipedia.org/wiki/Computer_science,A->B,eaaiB->A7-cpr-recover,,en
Data_(computing),Database,https://en.wikipedia.org/wiki/Data_(computing),https://en.wikipedia.org/wiki/Database,A->B,eaaiB->A7-cpr-recover,,en
Graph_theory,Machine_learning,https://en.wikipedia.org/wiki/Graph_theory,https://en.wikipedia.org/wiki/Machine_learning,A->B,eaaiB->A7-cpr-recover,,en
Programming_language,Type_system,https://en.wikipedia.org/wiki/Programming_language,https://en.wikipedia.org/wiki/Type_system,A->B,eaaiB->A7-cpr-recover,,en
Programming_language,Variable_(computer_science),https://en.wikipedia.org/wiki/Programming_language,https://en.wikipedia.org/wiki/Variable_(computer_science),A->B,eaaiB->A7-cpr-recover,,en
Logic,Computer_programming,https://en.wikipedia.org/wiki/Logic,https://en.wikipedia.org/wiki/Computer_programming,A->B,eaaiB->A7-cpr-recover,,en
Operating_system,Distributed_computing,https://en.wikipedia.org/wiki/Operating_system,https://en.wikipedia.org/wiki/Distributed_computing,A->B,eaaiB->A7-cpr-recover,,en
Computation,Monte_Carlo_method,https://en.wikipedia.org/wiki/Computation,https://en.wikipedia.org/wiki/Monte_Carlo_method,A->B,eaaiB->A7-cpr-recover,,en
Recursion,First-order_logic,https://en.wikipedia.org/wiki/Recursion,https://en.wikipedia.org/wiki/First-order_logic,A->B,eaaiB->A7-cpr-recover,,en
Formal_grammar,Lexical_analysis,https://en.wikipedia.org/wiki/Formal_grammar,https://en.wikipedia.org/wiki/Lexical_analysis,A->B,eaaiB->A7-cpr-recover,,en
Mathematics,Algorithm,https://en.wikipedia.org/wiki/Mathematics,https://en.wikipedia.org/wiki/Algorithm,A->B,eaaiB->A7-cpr-recover,,en
NP-complete,Shortest_path_problem,https://en.wikipedia.org/wiki/NP-completeness,https://en.wikipedia.org/wiki/Shortest_path_problem,A->B,eaaiB->A7-cpr-recover,,en
Algebra,Probability_theory,https://en.wikipedia.org/wiki/Algebra,https://en.wikipedia.org/wiki/Probability_theory,A->B,eaaiB->A7-cpr-recover,,en
Computer_programming,System_programming,https://en.wikipedia.org/wiki/Computer_programming,https://en.wikipedia.org/wiki/Systems_programming,A->B,eaaiB->A7-cpr-recover,,en
Computer,Graphical_user_interface,https://en.wikipedia.org/wiki/Computer,https://en.wikipedia.org/wiki/Graphical_user_interface,A->B,eaaiB->A7-cpr-recover,,en
Algorithm,Profiling_(computer_programming),https://en.wikipedia.org/wiki/Algorithm,https://en.wikipedia.org/wiki/Profiling_(computer_programming),A->B,eaaiB->A7-cpr-recover,,en
Algorithm,Complexity_class,https://en.wikipedia.org/wiki/Algorithm,https://en.wikipedia.org/wiki/Complexity_class,A->B,eaaiB->A7-cpr-recover,,en
Geometry,Computer_graphics,https://en.wikipedia.org/wiki/Geometry,https://en.wikipedia.org/wiki/Computer_graphics,A->B,eaaiB->A7-cpr-recover,,en
