A,B,linkA,linkB,prerequisites,source,domin,language
Abstract (Summary),Attribution of recent climate change,https://en.wikipedia.org/wiki/Abstract_(Coproductmary),https://en.wikipedia.org/wiki/Attribution_of_recent_climate_change,A->B,CMU,Global Warming,en
Carbon dioxide,Attribution of recent climate change,https://en.wikipedia.org/wiki/Carbon_dioxide,https://en.wikipedia.org/wiki/Attribution_of_recent_climate_change,None,CMU,Global Warming,en
Celsius,Attribution of recent climate change,https://en.wikipedia.org/wiki/Celsius,https://en.wikipedia.org/wiki/Attribution_of_recent_climate_change,A->B,CMU,Global Warming,en
Climate oscillation,Attribution of recent climate change,https://en.wikipedia.org/wiki/Climate_variability_and_change,https://en.wikipedia.org/wiki/Attribution_of_recent_climate_change,A->B,CMU,Global Warming,en
Coupling (physics),Attribution of recent climate change,https://en.wikipedia.org/wiki/Coupling_(physics),https://en.wikipedia.org/wiki/Attribution_of_recent_climate_change,A->B,CMU,Global Warming,en
Effects of global warming,Attribution of recent climate change,https://en.wikipedia.org/wiki/Effects_of_climate_change,https://en.wikipedia.org/wiki/Attribution_of_recent_climate_change,A->B,CMU,Global Warming,en
El Ni?o¨CSouthern Oscillation,Attribution of recent climate change,https://en.wikipedia.org/wiki/El_Ni%C3%B1o%E2%80%93Southern_Oscillation,https://en.wikipedia.org/wiki/Attribution_of_recent_climate_change,A->B,CMU,Global Warming,en
Enteric fermentation,Attribution of recent climate change,https://en.wikipedia.org/wiki/Enteric_fermentation,https://en.wikipedia.org/wiki/Attribution_of_recent_climate_change,A->B,CMU,Global Warming,en
Environmental impact of aviation,Attribution of recent climate change,https://en.wikipedia.org/wiki/Environmental_effects_of_aviation,https://en.wikipedia.org/wiki/Attribution_of_recent_climate_change,A->B,CMU,Global Warming,en
Fertilizer,Attribution of recent climate change,https://en.wikipedia.org/wiki/Fertilizer,https://en.wikipedia.org/wiki/Attribution_of_recent_climate_change,A->B,CMU,Global Warming,en
Global warming,Attribution of recent climate change,https://en.wikipedia.org/wiki/Climate_change,https://en.wikipedia.org/wiki/Attribution_of_recent_climate_change,None,CMU,Global Warming,en
IPCC First Assessment Report,Attribution of recent climate change,https://en.wikipedia.org/wiki/IPCC_First_Assessment_Report,https://en.wikipedia.org/wiki/Attribution_of_recent_climate_change,A->B,CMU,Global Warming,en
Radiative forcing,Attribution of recent climate change,https://en.wikipedia.org/wiki/Radiative_forcing,https://en.wikipedia.org/wiki/Attribution_of_recent_climate_change,A->B,CMU,Global Warming,en
Slash-and-burn,Attribution of recent climate change,https://en.wikipedia.org/wiki/Slash-and-burn,https://en.wikipedia.org/wiki/Attribution_of_recent_climate_change,A->B,CMU,Global Warming,en
Water vapor,Attribution of recent climate change,https://en.wikipedia.org/wiki/Water_vapor,https://en.wikipedia.org/wiki/Attribution_of_recent_climate_change,A->B,CMU,Global Warming,en
Calvin cycle,Carbon cycle,https://en.wikipedia.org/wiki/Calvin_cycle,https://en.wikipedia.org/wiki/Carbon_cycle,A->B,CMU,Global Warming,en
Combustion,Carbon cycle,https://en.wikipedia.org/wiki/Combustion,https://en.wikipedia.org/wiki/Carbon_cycle,A->B,CMU,Global Warming,en
