A,B,linkA,linkB,prerequisites,source,domin,language
connected component,ackermann function,https://en.wikipedia.org/wiki/Connected_component,https://en.wikipedia.org/wiki/Ackermann_function,None,ACL,W-DSA,en
deterministic algorithm,ackermann function,https://en.wikipedia.org/wiki/Deterministic_algorithm,https://en.wikipedia.org/wiki/Ackermann_function,None,ACL,W-DSA,en
linear probing,ackermann function,https://en.wikipedia.org/wiki/Linear_probing,https://en.wikipedia.org/wiki/Ackermann_function,None,ACL,W-DSA,en
merge sort,ackermann function,https://en.wikipedia.org/wiki/Merge_sort,https://en.wikipedia.org/wiki/Ackermann_function,None,ACL,W-DSA,en
minimum spanning tree,ackermann function,https://en.wikipedia.org/wiki/Minimum_spanning_tree,https://en.wikipedia.org/wiki/Ackermann_function,None,ACL,W-DSA,en
randomized algorithm,ackermann function,https://en.wikipedia.org/wiki/Randomized_algorithm,https://en.wikipedia.org/wiki/Ackermann_function,None,ACL,W-DSA,en
sort algorithm,ackermann function,https://en.wikipedia.org/wiki/Sorting_algorithm,https://en.wikipedia.org/wiki/Ackermann_function,None,ACL,W-DSA,en
spanning tree,ackermann function,https://en.wikipedia.org/wiki/Spanning_tree,https://en.wikipedia.org/wiki/Ackermann_function,None,ACL,W-DSA,en
connected component,acyclic graph,https://en.wikipedia.org/wiki/Connected_component,https://en.wikipedia.org/wiki/Acyclic_graph,A->B,ACL,W-DSA,en
directed acyclic graph,acyclic graph,https://en.wikipedia.org/wiki/Directed_acyclic_graph,https://en.wikipedia.org/wiki/Acyclic_graph,A->B,ACL,W-DSA,en
directed graph,acyclic graph,https://en.wikipedia.org/wiki/Directed_graph,https://en.wikipedia.org/wiki/Acyclic_graph,None,ACL,W-DSA,en
search algorithm,acyclic graph,https://en.wikipedia.org/wiki/Search_algorithm,https://en.wikipedia.org/wiki/Acyclic_graph,None,ACL,W-DSA,en
search problem,acyclic graph,https://en.wikipedia.org/wiki/Search_problem,https://en.wikipedia.org/wiki/Acyclic_graph,None,ACL,W-DSA,en
shortest path,acyclic graph,https://en.wikipedia.org/wiki/Shortest_path_problem,https://en.wikipedia.org/wiki/Acyclic_graph,None,ACL,W-DSA,en
connected component,adjacency matrix,https://en.wikipedia.org/wiki/Connected_component,https://en.wikipedia.org/wiki/Adjacency_matrix,None,ACL,W-DSA,en
directed graph,adjacency matrix,https://en.wikipedia.org/wiki/Directed_graph,https://en.wikipedia.org/wiki/Adjacency_matrix,None,ACL,W-DSA,en
bipartite graph,approximation algorithm,https://en.wikipedia.org/wiki/Bipartite_graph,https://en.wikipedia.org/wiki/Approximation_algorithm,None,ACL,W-DSA,en
directed graph,approximation algorithm,https://en.wikipedia.org/wiki/Directed_graph,https://en.wikipedia.org/wiki/Approximation_algorithm,None,ACL,W-DSA,en
Dynamic_programming,approximation algorithm,https://en.wikipedia.org/wiki/Dynamic_programming,https://en.wikipedia.org/wiki/Approximation_algorithm,None,ACL,W-DSA,en
hamiltonian cycle,approximation algorithm,https://en.wikipedia.org/wiki/Hamiltonian_path,https://en.wikipedia.org/wiki/Approximation_algorithm,None,ACL,W-DSA,en
minimum spanning tree,approximation algorithm,https://en.wikipedia.org/wiki/Minimum_spanning_tree,https://en.wikipedia.org/wiki/Approximation_algorithm,None,ACL,W-DSA,en
search problem,approximation algorithm,https://en.wikipedia.org/wiki/Search_problem,https://en.wikipedia.org/wiki/Approximation_algorithm,A->B,ACL,W-DSA,en
spanning tree,approximation algorithm,https://en.wikipedia.org/wiki/Spanning_tree,https://en.wikipedia.org/wiki/Approximation_algorithm,None,ACL,W-DSA,en
triangle inequality,approximation algorithm,https://en.wikipedia.org/wiki/Triangle_inequality,https://en.wikipedia.org/wiki/Approximation_algorithm,None,ACL,W-DSA,en
