A,B,linkA,linkB,prerequisites,source,domin,language
Mathematics,Random_graph,https://en.wikipedia.org/wiki/Mathematics,https://en.wikipedia.org/wiki/Random_graph,A->B,NPTEL MOOC Dataset,,en
Algorithm_design,Knowledge_representation_and_reasoning,https://en.wikipedia.org/wiki/Algorithm,https://en.wikipedia.org/wiki/Knowledge_representation_and_reasoning,A->B,NPTEL MOOC Dataset,,en
Natural_language,Natural_language_processing,https://en.wikipedia.org/wiki/Natural_language,https://en.wikipedia.org/wiki/Natural_language_processing,A->B,NPTEL MOOC Dataset,,en
Combinatorics,Algorithm,https://en.wikipedia.org/wiki/Combinatorics,https://en.wikipedia.org/wiki/Algorithm,A->B,NPTEL MOOC Dataset,,en
Unix,System_programming,https://en.wikipedia.org/wiki/Unix,https://en.wikipedia.org/wiki/Systems_programming,A->B,NPTEL MOOC Dataset,,en
Combinatorics,Random_graph,https://en.wikipedia.org/wiki/Combinatorics,https://en.wikipedia.org/wiki/Random_graph,A->B,NPTEL MOOC Dataset,,en
Mathematical_proof,Mathematical_induction,https://en.wikipedia.org/wiki/Mathematical_proof,https://en.wikipedia.org/wiki/Mathematical_induction,A->B,NPTEL MOOC Dataset,,en
Image_processing,Computer_vision,https://en.wikipedia.org/wiki/Digital_image_processing,https://en.wikipedia.org/wiki/Computer_vision,A->B,NPTEL MOOC Dataset,,en
Mathematics,Randomness,https://en.wikipedia.org/wiki/Mathematics,https://en.wikipedia.org/wiki/Randomness,A->B,NPTEL MOOC Dataset,,en
Number_theory,Computer_science,https://en.wikipedia.org/wiki/Number_theory,https://en.wikipedia.org/wiki/Computer_science,A->B,NPTEL MOOC Dataset,,en
Data_(computing),Database,https://en.wikipedia.org/wiki/Data_(computing),https://en.wikipedia.org/wiki/Database,A->B,NPTEL MOOC Dataset,,en
Graph_theory,Machine_learning,https://en.wikipedia.org/wiki/Graph_theory,https://en.wikipedia.org/wiki/Machine_learning,A->B,NPTEL MOOC Dataset,,en
Programming_language,Type_system,https://en.wikipedia.org/wiki/Programming_language,https://en.wikipedia.org/wiki/Type_system,A->B,NPTEL MOOC Dataset,,en
Programming_language,Variable_(computer_science),https://en.wikipedia.org/wiki/Programming_language,https://en.wikipedia.org/wiki/Variable_(computer_science),A->B,NPTEL MOOC Dataset,,en
Logic,Computer_programming,https://en.wikipedia.org/wiki/Logic,https://en.wikipedia.org/wiki/Computer_programming,A->B,NPTEL MOOC Dataset,,en
Operating_system,Distributed_computing,https://en.wikipedia.org/wiki/Operating_system,https://en.wikipedia.org/wiki/Distributed_computing,A->B,NPTEL MOOC Dataset,,en
Computation,Monte_Carlo_method,https://en.wikipedia.org/wiki/Computation,https://en.wikipedia.org/wiki/Monte_Carlo_method,A->B,NPTEL MOOC Dataset,,en
Recursion,First-order_logic,https://en.wikipedia.org/wiki/Recursion,https://en.wikipedia.org/wiki/First-order_logic,A->B,NPTEL MOOC Dataset,,en
Formal_grammar,Lexical_analysis,https://en.wikipedia.org/wiki/Formal_grammar,https://en.wikipedia.org/wiki/Lexical_analysis,A->B,NPTEL MOOC Dataset,,en
Mathematics,Algorithm,https://en.wikipedia.org/wiki/Mathematics,https://en.wikipedia.org/wiki/Algorithm,A->B,NPTEL MOOC Dataset,,en
NP-complete,Shortest_path_problem,https://en.wikipedia.org/wiki/NP-completeness,https://en.wikipedia.org/wiki/Shortest_path_problem,A->B,NPTEL MOOC Dataset,,en
Algebra,Probability_theory,https://en.wikipedia.org/wiki/Algebra,https://en.wikipedia.org/wiki/Probability_theory,A->B,NPTEL MOOC Dataset,,en
Computer_programming,System_programming,https://en.wikipedia.org/wiki/Computer_programming,https://en.wikipedia.org/wiki/Systems_programming,A->B,NPTEL MOOC Dataset,,en
