A,B,linkA,linkB,prerequisites,source,domin,language
Computer network,Network security,https://en.wikipedia.org/wiki/Computer_network,https://en.wikipedia.org/wiki/Network_security,A->B,RefD,computer science,en
Algorithm,Network security,https://en.wikipedia.org/wiki/Algorithm,https://en.wikipedia.org/wiki/Network_security,A->B,RefD,computer science,en
Algorithm,Software engineering,https://en.wikipedia.org/wiki/Algorithm,https://en.wikipedia.org/wiki/Software_engineering,A->B,RefD,computer science,en
Data structure,Information retrieval,https://en.wikipedia.org/wiki/Data_structure,https://en.wikipedia.org/wiki/Information_retrieval,A->B,RefD,computer science,en
Algorithm,Computer vision,https://en.wikipedia.org/wiki/Algorithm,https://en.wikipedia.org/wiki/Computer_vision,A->B,RefD,computer science,en
Object-oriented design,Distributed object,https://en.wikipedia.org/wiki/Object-oriented_design,https://en.wikipedia.org/wiki/Distributed_object,A->B,RefD,computer science,en
Artificial intelligence,Information management,https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Information_management,A->B,RefD,computer science,en
Data structure,Object-oriented programming,https://en.wikipedia.org/wiki/Data_structure,https://en.wikipedia.org/wiki/Object-oriented_programming,A->B,RefD,computer science,en
Database,Software engineering,https://en.wikipedia.org/wiki/Database,https://en.wikipedia.org/wiki/Software_engineering,A->B,RefD,computer science,en
Information retrieval,Information management,https://en.wikipedia.org/wiki/Information_retrieval,https://en.wikipedia.org/wiki/Information_management,A->B,RefD,computer science,en
Computer network,Computer security,https://en.wikipedia.org/wiki/Computer_network,https://en.wikipedia.org/wiki/Computer_security,A->B,RefD,computer science,en
Data mining,Information management,https://en.wikipedia.org/wiki/Data_mining,https://en.wikipedia.org/wiki/Information_management,A->B,RefD,computer science,en
Discrete mathematics,Algorithm,https://en.wikipedia.org/wiki/Discrete_mathematics,https://en.wikipedia.org/wiki/Algorithm,A->B,RefD,computer science,en
Algorithm,Combinatorial optimization,https://en.wikipedia.org/wiki/Algorithm,https://en.wikipedia.org/wiki/Combinatorial_optimization,A->B,RefD,computer science,en
Microarchitecture,System programming,https://en.wikipedia.org/wiki/Microarchitecture,https://en.wikipedia.org/wiki/Systems_programming,A->B,RefD,computer science,en
Discrete mathematics,Translator (computing),https://en.wikipedia.org/wiki/Discrete_mathematics,https://en.wikipedia.org/wiki/Translator_(computing),A->B,RefD,computer science,en
Algorithm,Natural language processing,https://en.wikipedia.org/wiki/Algorithm,https://en.wikipedia.org/wiki/Natural_language_processing,A->B,RefD,computer science,en
Algorithm,Parallel_(geometry)_processing_(DSP_implementation),https://en.wikipedia.org/wiki/Algorithm,https://en.wikipedia.org/wiki/Parallel_(geometry)_processing,A->B,RefD,computer science,en
Software engineering,Software quality management,https://en.wikipedia.org/wiki/Software_engineering,https://en.wikipedia.org/wiki/Software_quality_management,A->B,RefD,computer science,en
