A,B,linkA,linkB,prerequisites,source,domin,language
Mathematics,Random graph,https://en.wikipedia.org/wiki/Mathematics,https://en.wikipedia.org/wiki/Random_graph,A->B,University course,,en
Algorithm,Knowledge representation and reasoning,https://en.wikipedia.org/wiki/Algorithm,https://en.wikipedia.org/wiki/Knowledge_representation_and_reasoning,A->B,University course,,en
Natural language,Natural language processing,https://en.wikipedia.org/wiki/Natural_language,https://en.wikipedia.org/wiki/Natural_language_processing,A->B,University course,,en
Computational complexity theory,Polynomial,https://en.wikipedia.org/wiki/Computational_complexity_theory,https://en.wikipedia.org/wiki/Polynomial,None,University course,,en
Dynamical system,Systems biology,https://en.wikipedia.org/wiki/Dynamical_system,https://en.wikipedia.org/wiki/Systems_biology,None,University course,,en
Software engineering,Computer programming,https://en.wikipedia.org/wiki/Software_engineering,https://en.wikipedia.org/wiki/Computer_programming,None,University course,,en
Computation,Monte Carlo method,https://en.wikipedia.org/wiki/Computation,https://en.wikipedia.org/wiki/Monte_Carlo_method,A->B,University course,,en
Cryptography,Statistics,https://en.wikipedia.org/wiki/Cryptography,https://en.wikipedia.org/wiki/Statistics,None,University course,,en
File system,Operating system,https://en.wikipedia.org/wiki/File_system,https://en.wikipedia.org/wiki/Operating_system,None,University course,,en
Numerical integration,Polynomial,https://en.wikipedia.org/wiki/Numerical_integration,https://en.wikipedia.org/wiki/Polynomial,None,University course,,en
Database,Distributed computing,https://en.wikipedia.org/wiki/Database,https://en.wikipedia.org/wiki/Distributed_computing,None,University course,,en
Dynamic_programming,Mathematics,https://en.wikipedia.org/wiki/Dynamic_programming,https://en.wikipedia.org/wiki/Mathematics,None,University course,,en
Algorithm,Foundations of mathematics,https://en.wikipedia.org/wiki/Algorithm,https://en.wikipedia.org/wiki/Foundations_of_mathematics,None,University course,,en
Combinatorics,Algorithm,https://en.wikipedia.org/wiki/Combinatorics,https://en.wikipedia.org/wiki/Algorithm,A->B,University course,,en
Authentication,Network security,https://en.wikipedia.org/wiki/Authentication,https://en.wikipedia.org/wiki/Network_security,None,University course,,en
Unix,Systems programming,https://en.wikipedia.org/wiki/Unix,https://en.wikipedia.org/wiki/Systems_programming,A->B,University course,,en
Computational science,Combinatorics,https://en.wikipedia.org/wiki/Computational_science,https://en.wikipedia.org/wiki/Combinatorics,None,University course,,en
Data warehouse,Data mining,https://en.wikipedia.org/wiki/Data_warehouse,https://en.wikipedia.org/wiki/Data_mining,None,University course,,en
Combinatorics,Random graph,https://en.wikipedia.org/wiki/Combinatorics,https://en.wikipedia.org/wiki/Random_graph,A->B,University course,,en
Compiler,Top-down and bottom-up design,https://en.wikipedia.org/wiki/Compiler,https://en.wikipedia.org/wiki/Top-down_and_bottom-up_design,None,University course,,en
Digital image processing,Software development,https://en.wikipedia.org/wiki/Digital_image_processing,https://en.wikipedia.org/wiki/Software_development,None,University course,,en
Mathematical proof,Mathematical analysis,https://en.wikipedia.org/wiki/Mathematical_proof,https://en.wikipedia.org/wiki/Mathematical_analysis,None,University course,,en
Digital image processing,Computer vision,https://en.wikipedia.org/wiki/Digital_image_processing,https://en.wikipedia.org/wiki/Computer_vision,A->B,University course,,en
Exception handling,Monad (functional programming),https://en.wikipedia.org/wiki/Exception_handling,https://en.wikipedia.org/wiki/Monad_(functional_programming),None,University course,,en
Number theory,Computer science,https://en.wikipedia.org/wiki/Number_theory,https://en.wikipedia.org/wiki/Computer_science,A->B,University course,,en
Programming language,Data structure,https://en.wikipedia.org/wiki/Programming_language,https://en.wikipedia.org/wiki/Data_structure,None,University course,,en
Runtime (program lifecycle phase),Computer science,https://en.wikipedia.org/wiki/Runtime_(program_lifecycle_phase),https://en.wikipedia.org/wiki/Computer_science,None,University course,,en
Data (computing),Database,https://en.wikipedia.org/wiki/Data_(computing),https://en.wikipedia.org/wiki/Database,A->B,University course,,en
Parallel_(geometry) computing,Imperative programming,https://en.wikipedia.org/wiki/Parallel_(geometry)_computing,https://en.wikipedia.org/wiki/Imperative_programming,None,University course,,en
Graph theory,Machine learning,https://en.wikipedia.org/wiki/Graph_theory,https://en.wikipedia.org/wiki/Machine_learning,A->B,University course,,en
Algorithm,Algorithm,https://en.wikipedia.org/wiki/Algorithm,https://en.wikipedia.org/wiki/Algorithm,None,University course,,en
Social network,Statistics,https://en.wikipedia.org/wiki/Social_network,https://en.wikipedia.org/wiki/Statistics,None,University course,,en
Distributed computing,Scalability,https://en.wikipedia.org/wiki/Distributed_computing,https://en.wikipedia.org/wiki/Scalability,None,University course,,en
