视频A顺序,视频B顺序,投票结果,视频A标题,视频B标题,视频A网站,视频B网站
1,2,1,welcome and introduction to module 1,real line decimals and significant figures,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,https://www.coursera.org/learn/introduction-to-calculus/lecture/YHCSH/real-line-decimals-and-significant-figures
1,3,1,welcome and introduction to module 1,the theorem of pythagoras and properties of the square root of 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,https://www.coursera.org/learn/introduction-to-calculus/lecture/b0jBv/the-theorem-of-pythagoras-and-properties-of-the-square-root-of-2
1,4,1,welcome and introduction to module 1,algebraic expressions surds and approximations,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,https://www.coursera.org/learn/introduction-to-calculus/lecture/kHYi4/algebraic-expressions-surds-and-approximations
1,5,1,welcome and introduction to module 1,equations and inequalities,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,https://www.coursera.org/learn/introduction-to-calculus/lecture/GXs8P/equations-and-inequalities
1,7,1,welcome and introduction to module 1,sign diagrams solution sets and intervals part 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,https://www.coursera.org/learn/introduction-to-calculus/lecture/mFOOl/sign-diagrams-solution-sets-and-intervals-part-2
1,8,1,welcome and introduction to module 1,coordinate systems,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,https://www.coursera.org/learn/introduction-to-calculus/lecture/2tKGg/coordinate-systems
1,9,1,welcome and introduction to module 1,distance and absolute value,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,https://www.coursera.org/learn/introduction-to-calculus/lecture/uYxXt/distance-and-absolute-value
1,10,1,welcome and introduction to module 1,lines and circles in the plane,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,https://www.coursera.org/learn/introduction-to-calculus/lecture/IG1E7/lines-and-circles-in-the-plane
1,11,0,welcome and introduction to module 1,introduction to module 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,https://www.coursera.org/learn/introduction-to-calculus/lecture/339mr/introduction-to-module-2
1,12,0,welcome and introduction to module 1,parabolas and quadratics,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,https://www.coursera.org/learn/introduction-to-calculus/lecture/XI618/parabolas-and-quadratics
1,13,0,welcome and introduction to module 1,the quadratic formula,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,https://www.coursera.org/learn/introduction-to-calculus/lecture/jsOfP/the-quadratic-formula
1,14,0,welcome and introduction to module 1,functions as rules with domain range and graph,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,https://www.coursera.org/learn/introduction-to-calculus/lecture/IxW5B/functions-as-rules-with-domain-range-and-graph
1,15,0,welcome and introduction to module 1,polynomial and power functions,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,https://www.coursera.org/learn/introduction-to-calculus/lecture/tW3Lt/polynomial-and-power-functions
1,16,0,welcome and introduction to module 1,composite functions,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,https://www.coursera.org/learn/introduction-to-calculus/lecture/X4BIL/composite-functions
1,17,0,welcome and introduction to module 1,inverse functions,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,https://www.coursera.org/learn/introduction-to-calculus/lecture/FcZyj/inverse-functions
1,18,0,welcome and introduction to module 1,the exponential function,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,https://www.coursera.org/learn/introduction-to-calculus/lecture/mvPay/the-exponential-function
1,19,0,welcome and introduction to module 1,the logarithmic function,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,https://www.coursera.org/learn/introduction-to-calculus/lecture/CYiY7/the-logarithmic-function
1,20,0,welcome and introduction to module 1,exponential growth and decay,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,https://www.coursera.org/learn/introduction-to-calculus/lecture/wBdss/exponential-growth-and-decay
1,21,0,welcome and introduction to module 1,sine cosine and tangent,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,https://www.coursera.org/learn/introduction-to-calculus/lecture/ymKdB/sine-cosine-and-tangent
1,23,0,welcome and introduction to module 1,inverse circular functions,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,https://www.coursera.org/learn/introduction-to-calculus/lecture/pXOoI/inverse-circular-functions
1,25,0,welcome and introduction to module 1,slopes and average rates of change,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,https://www.coursera.org/learn/introduction-to-calculus/lecture/MDrBm/slopes-and-average-rates-of-change
