视频A顺序,视频B顺序,投票结果,视频A标题,视频B标题,视频A网站,视频B网站
1,16,0,course introduction,generics,https://www.coursera.org/learn/algorithms-part1/lecture/buZPh/course-introduction,https://www.coursera.org/learn/algorithms-part1/lecture/0URQC/generics
1,21,0,course introduction,insertion sort,https://www.coursera.org/learn/algorithms-part1/lecture/buZPh/course-introduction,https://www.coursera.org/learn/algorithms-part1/lecture/1hYlN/insertion-sort
1,23,0,course introduction,shuffling,https://www.coursera.org/learn/algorithms-part1/lecture/buZPh/course-introduction,https://www.coursera.org/learn/algorithms-part1/lecture/12vcF/shuffling
1,29,0,course introduction,stability,https://www.coursera.org/learn/algorithms-part1/lecture/buZPh/course-introduction,https://www.coursera.org/learn/algorithms-part1/lecture/pvvLZ/stability
1,40,0,course introduction,ordered operations,https://www.coursera.org/learn/algorithms-part1/lecture/buZPh/course-introduction,https://www.coursera.org/learn/algorithms-part1/lecture/VDp3O/ordered-operations
1,41,0,course introduction,binary search trees,https://www.coursera.org/learn/algorithms-part1/lecture/buZPh/course-introduction,https://www.coursera.org/learn/algorithms-part1/lecture/7An9B/binary-search-trees
1,52,0,course introduction,hash tables,https://www.coursera.org/learn/algorithms-part1/lecture/buZPh/course-introduction,https://www.coursera.org/learn/algorithms-part1/lecture/CMLqa/hash-tables
1,56,0,course introduction,symbol table applications sets optional,https://www.coursera.org/learn/algorithms-part1/lecture/buZPh/course-introduction,https://www.coursera.org/learn/algorithms-part1/lecture/ewcSx/symbol-table-applications-sets-optional
2,16,0,dynamic connectivity,generics,https://www.coursera.org/learn/algorithms-part1/lecture/fjxHC/dynamic-connectivity,https://www.coursera.org/learn/algorithms-part1/lecture/0URQC/generics
2,21,0,dynamic connectivity,insertion sort,https://www.coursera.org/learn/algorithms-part1/lecture/fjxHC/dynamic-connectivity,https://www.coursera.org/learn/algorithms-part1/lecture/1hYlN/insertion-sort
2,29,0,dynamic connectivity,stability,https://www.coursera.org/learn/algorithms-part1/lecture/fjxHC/dynamic-connectivity,https://www.coursera.org/learn/algorithms-part1/lecture/pvvLZ/stability
2,40,0,dynamic connectivity,ordered operations,https://www.coursera.org/learn/algorithms-part1/lecture/fjxHC/dynamic-connectivity,https://www.coursera.org/learn/algorithms-part1/lecture/VDp3O/ordered-operations
2,41,0,dynamic connectivity,binary search trees,https://www.coursera.org/learn/algorithms-part1/lecture/fjxHC/dynamic-connectivity,https://www.coursera.org/learn/algorithms-part1/lecture/7An9B/binary-search-trees
2,56,0,dynamic connectivity,symbol table applications sets optional,https://www.coursera.org/learn/algorithms-part1/lecture/fjxHC/dynamic-connectivity,https://www.coursera.org/learn/algorithms-part1/lecture/ewcSx/symbol-table-applications-sets-optional
3,14,0,quick find,resizing arrays,https://www.coursera.org/learn/algorithms-part1/lecture/EcF3P/quick-find,https://www.coursera.org/learn/algorithms-part1/lecture/WTFO7/resizing-arrays
3,16,0,quick find,generics,https://www.coursera.org/learn/algorithms-part1/lecture/EcF3P/quick-find,https://www.coursera.org/learn/algorithms-part1/lecture/0URQC/generics
3,17,0,quick find,iterators,https://www.coursera.org/learn/algorithms-part1/lecture/EcF3P/quick-find,https://www.coursera.org/learn/algorithms-part1/lecture/zGZE0/iterators
3,21,1,quick find,insertion sort,https://www.coursera.org/learn/algorithms-part1/lecture/EcF3P/quick-find,https://www.coursera.org/learn/algorithms-part1/lecture/1hYlN/insertion-sort
3,29,0,quick find,stability,https://www.coursera.org/learn/algorithms-part1/lecture/EcF3P/quick-find,https://www.coursera.org/learn/algorithms-part1/lecture/pvvLZ/stability
3,40,0,quick find,ordered operations,https://www.coursera.org/learn/algorithms-part1/lecture/EcF3P/quick-find,https://www.coursera.org/learn/algorithms-part1/lecture/VDp3O/ordered-operations
3,41,0,quick find,binary search trees,https://www.coursera.org/learn/algorithms-part1/lecture/EcF3P/quick-find,https://www.coursera.org/learn/algorithms-part1/lecture/7An9B/binary-search-trees
3,43,0,quick find,deletion in bsts,https://www.coursera.org/learn/algorithms-part1/lecture/EcF3P/quick-find,https://www.coursera.org/learn/algorithms-part1/lecture/PWZAr/deletion-in-bsts
3,46,0,quick find,b trees optional,https://www.coursera.org/learn/algorithms-part1/lecture/EcF3P/quick-find,https://www.coursera.org/learn/algorithms-part1/lecture/HIlHd/b-trees-optional
3,56,0,quick find,symbol table applications sets optional,https://www.coursera.org/learn/algorithms-part1/lecture/EcF3P/quick-find,https://www.coursera.org/learn/algorithms-part1/lecture/ewcSx/symbol-table-applications-sets-optional
5,14,0,quick union improvements,resizing arrays,https://www.coursera.org/learn/algorithms-part1/lecture/RZW72/quick-union-improvements,https://www.coursera.org/learn/algorithms-part1/lecture/WTFO7/resizing-arrays
5,16,0,quick union improvements,generics,https://www.coursera.org/learn/algorithms-part1/lecture/RZW72/quick-union-improvements,https://www.coursera.org/learn/algorithms-part1/lecture/0URQC/generics
5,17,0,quick union improvements,iterators,https://www.coursera.org/learn/algorithms-part1/lecture/RZW72/quick-union-improvements,https://www.coursera.org/learn/algorithms-part1/lecture/zGZE0/iterators
5,21,0,quick union improvements,insertion sort,https://www.coursera.org/learn/algorithms-part1/lecture/RZW72/quick-union-improvements,https://www.coursera.org/learn/algorithms-part1/lecture/1hYlN/insertion-sort
5,23,0,quick union improvements,shuffling,https://www.coursera.org/learn/algorithms-part1/lecture/RZW72/quick-union-improvements,https://www.coursera.org/learn/algorithms-part1/lecture/12vcF/shuffling
5,29,0,quick union improvements,stability,https://www.coursera.org/learn/algorithms-part1/lecture/RZW72/quick-union-improvements,https://www.coursera.org/learn/algorithms-part1/lecture/pvvLZ/stability
5,40,0,quick union improvements,ordered operations,https://www.coursera.org/learn/algorithms-part1/lecture/RZW72/quick-union-improvements,https://www.coursera.org/learn/algorithms-part1/lecture/VDp3O/ordered-operations
5,41,1,quick union improvements,binary search trees,https://www.coursera.org/learn/algorithms-part1/lecture/RZW72/quick-union-improvements,https://www.coursera.org/learn/algorithms-part1/lecture/7An9B/binary-search-trees
5,43,0,quick union improvements,deletion in bsts,https://www.coursera.org/learn/algorithms-part1/lecture/RZW72/quick-union-improvements,https://www.coursera.org/learn/algorithms-part1/lecture/PWZAr/deletion-in-bsts
5,46,1,quick union improvements,b trees optional,https://www.coursera.org/learn/algorithms-part1/lecture/RZW72/quick-union-improvements,https://www.coursera.org/learn/algorithms-part1/lecture/HIlHd/b-trees-optional
5,52,0,quick union improvements,hash tables,https://www.coursera.org/learn/algorithms-part1/lecture/RZW72/quick-union-improvements,https://www.coursera.org/learn/algorithms-part1/lecture/CMLqa/hash-tables
