视频A顺序,视频B顺序,投票结果,视频A标题,视频B标题,视频A网站,视频B网站
1,15,1,introduction,cooking sensible substitutions,https://www.coursera.org/learn/food-and-health/lecture/5f98p/introduction,https://www.coursera.org/learn/food-and-health/lecture/iUEro/cooking-sensible-substitutions
1,20,0,introduction,how to make gluten free crepes,https://www.coursera.org/learn/food-and-health/lecture/5f98p/introduction,https://www.coursera.org/learn/food-and-health/lecture/T3bWZ/how-to-make-gluten-free-crepes
1,21,0,introduction,how to make lemon herb roasted chicken,https://www.coursera.org/learn/food-and-health/lecture/5f98p/introduction,https://www.coursera.org/learn/food-and-health/lecture/2tBG6/how-to-make-lemon-herb-roasted-chicken
1,22,0,introduction,how to make asparagus torta,https://www.coursera.org/learn/food-and-health/lecture/5f98p/introduction,https://www.coursera.org/learn/food-and-health/lecture/VjQxx/how-to-make-asparagus-torta
1,23,0,introduction,how to make idlis indian rice cakes,https://www.coursera.org/learn/food-and-health/lecture/5f98p/introduction,https://www.coursera.org/learn/food-and-health/lecture/hw3BB/how-to-make-idlis-indian-rice-cakes
1,24,0,introduction,how to make pad thai,https://www.coursera.org/learn/food-and-health/lecture/5f98p/introduction,https://www.coursera.org/learn/food-and-health/lecture/ANvHq/how-to-make-pad-thai
1,25,0,introduction,how to make lasagna,https://www.coursera.org/learn/food-and-health/lecture/5f98p/introduction,https://www.coursera.org/learn/food-and-health/lecture/AeImE/how-to-make-lasagna
1,26,0,introduction,how to make ricotta cake,https://www.coursera.org/learn/food-and-health/lecture/5f98p/introduction,https://www.coursera.org/learn/food-and-health/lecture/MJE8s/how-to-make-ricotta-cake
1,27,0,introduction,how to make pancakes in a blender,https://www.coursera.org/learn/food-and-health/lecture/5f98p/introduction,https://www.coursera.org/learn/food-and-health/lecture/NXM4K/how-to-make-pancakes-in-a-blender
1,28,0,introduction,how to make a sweet pea salad,https://www.coursera.org/learn/food-and-health/lecture/5f98p/introduction,https://www.coursera.org/learn/food-and-health/lecture/ipPyI/how-to-make-a-sweet-pea-salad
1,29,0,introduction,how to make egg sandwiches,https://www.coursera.org/learn/food-and-health/lecture/5f98p/introduction,https://www.coursera.org/learn/food-and-health/lecture/i2P7x/how-to-make-egg-sandwiches
2,11,0,a sociocultural history of obesity,a step wise approach to behavior change,https://www.coursera.org/learn/food-and-health/lecture/JPXUW/a-sociocultural-history-of-obesity,https://www.coursera.org/learn/food-and-health/lecture/Pulh7/a-step-wise-approach-to-behavior-change
2,14,0,a sociocultural history of obesity,cooking increasing vegetable intake,https://www.coursera.org/learn/food-and-health/lecture/JPXUW/a-sociocultural-history-of-obesity,https://www.coursera.org/learn/food-and-health/lecture/52bEu/cooking-increasing-vegetable-intake
2,21,0,a sociocultural history of obesity,how to make gluten free crepes,https://www.coursera.org/learn/food-and-health/lecture/JPXUW/a-sociocultural-history-of-obesity,https://www.coursera.org/learn/food-and-health/lecture/2tBG6/how-to-make-lemon-herb-roasted-chicken
2,21,0,a sociocultural history of obesity,how to make lemon herb roasted chicken,https://www.coursera.org/learn/food-and-health/lecture/JPXUW/a-sociocultural-history-of-obesity,https://www.coursera.org/learn/food-and-health/lecture/2tBG6/how-to-make-lemon-herb-roasted-chicken
2,22,0,a sociocultural history of obesity,how to make asparagus torta,https://www.coursera.org/learn/food-and-health/lecture/JPXUW/a-sociocultural-history-of-obesity,https://www.coursera.org/learn/food-and-health/lecture/VjQxx/how-to-make-asparagus-torta
2,23,0,a sociocultural history of obesity,how to make idlis indian rice cakes,https://www.coursera.org/learn/food-and-health/lecture/JPXUW/a-sociocultural-history-of-obesity,https://www.coursera.org/learn/food-and-health/lecture/hw3BB/how-to-make-idlis-indian-rice-cakes
2,24,0,a sociocultural history of obesity,how to make pad thai,https://www.coursera.org/learn/food-and-health/lecture/JPXUW/a-sociocultural-history-of-obesity,https://www.coursera.org/learn/food-and-health/lecture/ANvHq/how-to-make-pad-thai
2,25,0,a sociocultural history of obesity,how to make lasagna,https://www.coursera.org/learn/food-and-health/lecture/JPXUW/a-sociocultural-history-of-obesity,https://www.coursera.org/learn/food-and-health/lecture/AeImE/how-to-make-lasagna
2,26,0,a sociocultural history of obesity,how to make ricotta cake,https://www.coursera.org/learn/food-and-health/lecture/JPXUW/a-sociocultural-history-of-obesity,https://www.coursera.org/learn/food-and-health/lecture/MJE8s/how-to-make-ricotta-cake
2,27,0,a sociocultural history of obesity,how to make pancakes in a blender,https://www.coursera.org/learn/food-and-health/lecture/JPXUW/a-sociocultural-history-of-obesity,https://www.coursera.org/learn/food-and-health/lecture/NXM4K/how-to-make-pancakes-in-a-blender
2,28,0,a sociocultural history of obesity,how to make a sweet pea salad,https://www.coursera.org/learn/food-and-health/lecture/JPXUW/a-sociocultural-history-of-obesity,https://www.coursera.org/learn/food-and-health/lecture/ipPyI/how-to-make-a-sweet-pea-salad
2,29,0,a sociocultural history of obesity,how to make egg sandwiches,https://www.coursera.org/learn/food-and-health/lecture/JPXUW/a-sociocultural-history-of-obesity,https://www.coursera.org/learn/food-and-health/lecture/i2P7x/how-to-make-egg-sandwiches
3,11,1,macronutrient structure metabolism,a step wise approach to behavior change,https://www.coursera.org/learn/food-and-health/lecture/WQZUB/macronutrient-structure-metabolism,https://www.coursera.org/learn/food-and-health/lecture/Pulh7/a-step-wise-approach-to-behavior-change
3,14,1,macronutrient structure metabolism,cooking increasing vegetable intake,https://www.coursera.org/learn/food-and-health/lecture/WQZUB/macronutrient-structure-metabolism,https://www.coursera.org/learn/food-and-health/lecture/52bEu/cooking-increasing-vegetable-intake
3,21,0,macronutrient structure metabolism,how to make gluten free crepes,https://www.coursera.org/learn/food-and-health/lecture/WQZUB/macronutrient-structure-metabolism,https://www.coursera.org/learn/food-and-health/lecture/2tBG6/how-to-make-lemon-herb-roasted-chicken
3,21,0,macronutrient structure metabolism,how to make lemon herb roasted chicken,https://www.coursera.org/learn/food-and-health/lecture/WQZUB/macronutrient-structure-metabolism,https://www.coursera.org/learn/food-and-health/lecture/2tBG6/how-to-make-lemon-herb-roasted-chicken
3,22,0,macronutrient structure metabolism,how to make asparagus torta,https://www.coursera.org/learn/food-and-health/lecture/WQZUB/macronutrient-structure-metabolism,https://www.coursera.org/learn/food-and-health/lecture/VjQxx/how-to-make-asparagus-torta
3,28,0,macronutrient structure metabolism,how to make a sweet pea salad,https://www.coursera.org/learn/food-and-health/lecture/WQZUB/macronutrient-structure-metabolism,https://www.coursera.org/learn/food-and-health/lecture/ipPyI/how-to-make-a-sweet-pea-salad
3,29,0,macronutrient structure metabolism,how to make egg sandwiches,https://www.coursera.org/learn/food-and-health/lecture/WQZUB/macronutrient-structure-metabolism,https://www.coursera.org/learn/food-and-health/lecture/i2P7x/how-to-make-egg-sandwiches
4,11,1,carbohydrate rich foods the glycemic index,a step wise approach to behavior change,https://www.coursera.org/learn/food-and-health/lecture/ENUQ6/carbohydrate-rich-foods-the-glycemic-index,https://www.coursera.org/learn/food-and-health/lecture/Pulh7/a-step-wise-approach-to-behavior-change
4,14,1,carbohydrate rich foods the glycemic index,cooking increasing vegetable intake,https://www.coursera.org/learn/food-and-health/lecture/ENUQ6/carbohydrate-rich-foods-the-glycemic-index,https://www.coursera.org/learn/food-and-health/lecture/52bEu/cooking-increasing-vegetable-intake
4,15,1,carbohydrate rich foods the glycemic index,cooking sensible substitutions,https://www.coursera.org/learn/food-and-health/lecture/ENUQ6/carbohydrate-rich-foods-the-glycemic-index,https://www.coursera.org/learn/food-and-health/lecture/iUEro/cooking-sensible-substitutions
4,21,0,carbohydrate rich foods the glycemic index,how to make gluten free crepes,https://www.coursera.org/learn/food-and-health/lecture/ENUQ6/carbohydrate-rich-foods-the-glycemic-index,https://www.coursera.org/learn/food-and-health/lecture/2tBG6/how-to-make-lemon-herb-roasted-chicken
4,21,0,carbohydrate rich foods the glycemic index,how to make lemon herb roasted chicken,https://www.coursera.org/learn/food-and-health/lecture/ENUQ6/carbohydrate-rich-foods-the-glycemic-index,https://www.coursera.org/learn/food-and-health/lecture/2tBG6/how-to-make-lemon-herb-roasted-chicken
4,23,0,carbohydrate rich foods the glycemic index,how to make idlis indian rice cakes,https://www.coursera.org/learn/food-and-health/lecture/ENUQ6/carbohydrate-rich-foods-the-glycemic-index,https://www.coursera.org/learn/food-and-health/lecture/hw3BB/how-to-make-idlis-indian-rice-cakes
4,24,0,carbohydrate rich foods the glycemic index,how to make pad thai,https://www.coursera.org/learn/food-and-health/lecture/ENUQ6/carbohydrate-rich-foods-the-glycemic-index,https://www.coursera.org/learn/food-and-health/lecture/ANvHq/how-to-make-pad-thai
4,25,0,carbohydrate rich foods the glycemic index,how to make lasagna,https://www.coursera.org/learn/food-and-health/lecture/ENUQ6/carbohydrate-rich-foods-the-glycemic-index,https://www.coursera.org/learn/food-and-health/lecture/AeImE/how-to-make-lasagna
4,26,0,carbohydrate rich foods the glycemic index,how to make ricotta cake,https://www.coursera.org/learn/food-and-health/lecture/ENUQ6/carbohydrate-rich-foods-the-glycemic-index,https://www.coursera.org/learn/food-and-health/lecture/MJE8s/how-to-make-ricotta-cake
4,27,0,carbohydrate rich foods the glycemic index,how to make pancakes in a blender,https://www.coursera.org/learn/food-and-health/lecture/ENUQ6/carbohydrate-rich-foods-the-glycemic-index,https://www.coursera.org/learn/food-and-health/lecture/NXM4K/how-to-make-pancakes-in-a-blender
4,28,0,carbohydrate rich foods the glycemic index,how to make a sweet pea salad,https://www.coursera.org/learn/food-and-health/lecture/ENUQ6/carbohydrate-rich-foods-the-glycemic-index,https://www.coursera.org/learn/food-and-health/lecture/ipPyI/how-to-make-a-sweet-pea-salad
4,29,0,carbohydrate rich foods the glycemic index,how to make egg sandwiches,https://www.coursera.org/learn/food-and-health/lecture/ENUQ6/carbohydrate-rich-foods-the-glycemic-index,https://www.coursera.org/learn/food-and-health/lecture/i2P7x/how-to-make-egg-sandwiches
5,11,0,animal plant based proteins,a step wise approach to behavior change,https://www.coursera.org/learn/food-and-health/lecture/cowKs/animal-plant-based-proteins,https://www.coursera.org/learn/food-and-health/lecture/Pulh7/a-step-wise-approach-to-behavior-change
5,14,1,animal plant based proteins,cooking increasing vegetable intake,https://www.coursera.org/learn/food-and-health/lecture/cowKs/animal-plant-based-proteins,https://www.coursera.org/learn/food-and-health/lecture/52bEu/cooking-increasing-vegetable-intake
5,15,abandon,animal plant based proteins,cooking sensible substitutions,https://www.coursera.org/learn/food-and-health/lecture/cowKs/animal-plant-based-proteins,https://www.coursera.org/learn/food-and-health/lecture/iUEro/cooking-sensible-substitutions
